"","X","AdID","AdText","Clicks","Impressions","Age","CreationDate","Location","Interests","AdSpend","AdSpendCurrency","CreationDateInteger","BinAge","BinAdSpend","BinClicks","BinImpressions"
"738",737,712,"ONLY TWO DAYS before the Secession Rally.  Let's make it HUGE! Join the rally here  Download hi h resolution banners to rint them out here",175,1590,41.5,2016-02-25,"Living In: United States: Austin (+10 mi) Texas","unavailable",1597.47,"RUB",22516,"mid","high","mid","mid"
"739",738,749,"They came for the children. but I had no small children so I didn't stand up. They came for the ranchers, but I'm not a rancher so I didn't stand up. They came for the guns, but I don't have any guns so I didn't stand up. They came after the people who speak out against to tyranny, but I don't speak out so I didn't stand up. They came after me. and there was no one left to stand up. My friends; if you have never stood for anything now is the time. Look around you, how much freedom do you have? What we have now is NOT what our forefathers wanted for us. (The text by John McClain) Join the secession rally and help Republic of Texas to raise from the ashes! ",222,3658,41.5,2016-02-25,"United States: Austin (+10 mi) Texas","unavailable",0,"RUB",22516,"mid","unavailable","mid","mid"
"740",739,1461,"We are not against police, we against police brutality!",4684,120496,36,2016-02-12,"United States","black",42805.48,"RUB",21216,"low","high","high","high"
"741",740,1470,"Don't you think that it's time to bring the cops down?        They have been demonstrating their misconduct for so long that now WE have to make them understand how it feels to watch somebody breaking the rules and be unable to do anything about it. If we remain silent and don't show these assholes that we are not going to tolerate #policebrutality, the officers will continue to think that they are above the law. F**k the police!",0,0,41.5,2016-02-12,"United States","unavailable",0,"unavailable",21216,"mid","unavailable","unavailable","unavailable"
"742",741,1471,"Don't you think that it's time to bring the cops down?        They have been demonstrating their misconduct for so long that now WE have to make them understand how it feels to watch somebody breaking the rules and be unable to do anything about it. If we remain silent and don't show these assholes that we are not going to tolerate #policebrutality, the officers will continue to think that they are above the law. F**k the police!",0,0,41.5,2016-02-12,"United States","unavailable",0,"unavailable",21216,"mid","unavailable","unavailable","unavailable"
"743",742,1574,"We want to grow and not being shot! Join us!",0,0,36,2016-02-12,"United States","black",0,"unavailable",21216,"low","unavailable","unavailable","unavailable"
"744",743,1582,"We want to live in the country with no fear!",0,0,36,2016-02-12,"United States","black",0,"unavailable",21216,"low","unavailable","unavailable","unavailable"
"745",744,1594,"It's not about who is ""good"" and ""bad"" it's about what is right!",0,0,36,2016-02-12,"United States","black",0,"unavailable",21216,"low","unavailable","unavailable","unavailable"
"746",745,1598,"We run this community because we care...",0,0,36,2016-02-12,"United States","black",0,"unavailable",21216,"low","unavailable","unavailable","unavailable"
"747",746,1602,"We want to grow and not being shot! Join us!",0,0,36,2016-02-12,"United States","black",0,"unavailable",21216,"low","unavailable","unavailable","unavailable"
"748",747,1615,"Stop Islamophobia",3,213,33,2016-02-12,"United States","islam",132.31,"RUB",21216,"low","low","low","low"
"749",748,1630,"I'm a Muslim and I'm proud",819,33027,33,2016-02-12,"United States","islam",20181.68,"RUB",21216,"low","high","mid","high"
"750",749,1660,"we are Muslims and we stand together",41,1411,33,2016-02-12,"United States","islam",946.65,"RUB",21216,"low","high","low","mid"
"751",750,1667,"USA Muslims united",57,2819,33,2016-02-12,"United States","islam",1685.89,"RUB",21216,"low","high","low","mid"
"752",751,1714,"Get breaking news and analysis on the life of African American community in the US. Black Matters Blackluive",92,65475,20,2016-02-05,"United States","black",8445.8,"RUB",20516,"low","high","mid","high"
"753",752,1937,"This is a community for everyone whose heart is with America. Don't be a stranger - Follow @instotus Instagram Of The United Instotus",41,22635,39,2016-02-25,"United States","right wing",2909.99,"RUB",22516,"low","high","low","high"
"754",753,1943,"NO MORE CHAOS! Instagram Of The US stands against racism! God Bless America!",0,7588,39,2016-02-14,"United States","unavailable",1498.49,"RUB",21416,"low","high","unavailable","mid"
"755",754,1952,"Stop the white privilege by participating in a PRO-Beyonce Rally! Support Queen B!",0,1499,39,2016-02-12,"United States","unavailable",32.61,"RUB",21216,"low","low","unavailable","mid"
"756",755,1953,"Stop the white privilege by participating in a PRO-Beyonce Rally! Support Queen B!",0,38437,39,2016-02-14,"United States","unavailable",1467.39,"RUB",21416,"low","high","unavailable","high"
"757",756,776,"Community about black social and racial issues! Like to subcribe!",0,37,31.5,2016-01-14,"United States","black",0,"unavailable",11416,"low","unavailable","unavailable","low"
"758",757,903,"After a Cleveland officer killed 12-year-old Tamir Rice in cold blood last December and his family is still in mourning, the city has filed a creditor's claim against the ""estate"" of the little boy. This is heartlessness in the highest degree! Even though $500 is not so much to pay, suing them was useless considering the fact that they were responsible for this calamity that came upon this family.        #WilliamsandKalvin #BlackLivesMatter",102,977,41.5,2016-02-12,"United States","unavailable",300,"RUB",21216,"mid","mid","mid","low"
"759",758,181,"The will attract the UN's attention to the long term  injustice and cruelty against people of color in the United States. The  genocide instituted by white supremacists should be stopped.  Join our protest that will be held  Also, join the event for more info:  #CrimesOfGenocide",0,0,41.5,2016-02-09,"United States: New York (+40 km) New York","black",0,"unavailable",20916,"mid","unavailable","unavailable","unavailable"
"760",759,183,"Join our upcoming event:  Confirmed speakers for the #WeWantFreedom protest include black activist #C rim esOfGenocide",144,1847,41.5,2016-02-12,"United States: New York New York","black",1000,"RUB",21216,"mid","high","mid","mid"
"761",760,188,"ATTENTION, NEWYORK!  We need your support! We'll provide you with free food and coffee. Come and  bring your friends!  Join the FB event for more details:",283,10016,41.5,2016-02-18,"United States: New York New York","unavailable",1495.7,"RUB",21816,"mid","high","mid","high"
"762",761,312,"will attract the UN's attention to the long term  injustice and cruelty against people of color in the United States. The  genocide instituted by white supremacists should be stopped.  Join our protest that will be held  Also, join the event for more info:  #CrimesOfGenocide",212,6592,41.5,2016-02-08,"Living In: United States: Cleveland (+50 mi) Ohio","unavailable",1715.37,"RUB",20816,"mid","high","mid","mid"
"763",762,1187,"repost",16239,127370,40.5,2017-02-02,"United States","black",800,"RUB",20217,"low","high","high","high"
"764",763,1713,"Fed up with police violence? Wanna stop police brutality? Join us! Cop Block  Us (@cop_block_us) • lnstagram photos and videos AmericanCops",61,11238,26.5,2016-02-11,"United States","black",2706.93,"RUB",21116,"low","high","low","high"
"765",764,626,"IN 2016???        Closeted minor leaguer for St Louis Cardinals quit after coach and players spoke of killing gay people Tyler Dunnington was a 28th-round pick by the St Louis Cardinals in the 2014 Major League Baseball draft and given a chance to pursue his dream of being in the big leagues. But after just one season pitching for a Cardinals minor league team and performing solidly, Dunnington quit. He explains that during his playing days, he was a closeted gay man playing in an uncomfortable environment. A particular low point came when a coach made a bragging reference to the brutal murder in Wyoming of gay college student Matthew Shepard whose death led to federal hate crime legislation in the US. And the hate goes on and on and on .... You need fight back! It's a shame all those ""big strong men"" are afraid of what somebody does in private!!",76,495,41.5,2016-03-24,"United States","unavailable",57.37,"RUB",32416,"mid","low","mid","low"
"766",765,627,"??? Finally!! It took long enough! It's so strange that there are individuals and groups out there still living in the past!       For the first time, LGBTQ groups included in NYC's St. Patrick's parade The nation's largest St. Patrick's Day parade kicked off Thursday in New York City, and for the first time in decades, gay activists are not decrying it as an exercise in exclusion. The first of roughly 200,000 marchers began striding up Fifth Avenue just after 11 a.m. in a procession of throbbing pipes and drums, smiling dignitaries and waving flags. Thank you!! Now we can come out of the closet and show you who we are! have a fundamental objection to creating divisions , groups , categories of citizens. Black, white, rich, poor, nationality and gender... Just be people!",0,0,41.5,2016-03-24,"United States","unavailable",0,"unavailable",32416,"mid","unavailable","unavailable","unavailable"
"767",766,628,"HUMAN RIGHTS PHOTO CHALLENGE  Despite our race, religion, gender, age, education, sexual orientation and  beliefs, we are all HUMANS.  In the midst of the presidential race, all what politicians dream about is  money. They keep giving empty promises in order to win votes. And this is  our friendly reminder for the candidates: we are the ones who elect them. We  don't deserve having problems with employment, marriage, child birth etc ...  We all deserve the right to be accepted.  Go for it! Clicking the ""like"" button is not enough.  If you want to attract the candidates' attention to the fight for human rights, do  the following:  1) Take a picture with Campaign (HUMAN RIGHTS) logo (state required)  2) Post it in comments within a week  3) Share with your friends",0,0,41.5,2016-03-23,"United States","lgbt",0,"unavailable",32316,"mid","unavailable","unavailable","unavailable"
"768",767,629,"HUMAN RIGHTS PHOTO CHALLENGE  Despite our race, religion, gender, age, education, sexual orientation and  beliefs, we are all HUMANS.  In the midst of the presidential race, all what politicians dream about is  money. They keep giving empty promises in order to win votes. And this is  our friendly reminder for the candidates: we are the ones who elect them. We  don't deserve having problems with employment, marriage, child birth etc ...  We all deserve the right to be accepted.  Go for it! Clicking the ""like"" button is not enough.  If you want to attract the candidates' attention to the fight for human rights, do  the following:  1) Take a picture with Campaign (HUMAN RIGHTS) logo (state required)  2) Post it in comments within a week  3) Share with your friends  For the first place $50; second place $30; third place $20",64,870,39,2016-03-22,"United States","lgbt",169.09,"RUB",32216,"low","low","low","low"
"769",768,630,"HUMAN RIGHTS PHOTO CHALLENGE  Despite our race, religion, gender, age, education, sexual orientation and  beliefs, we are all HUMANS.  In the midst of the presidential race, all what politicians dream about is  money. They keep giving empty promises in order to win votes. And this is  our friendly reminder for the candidates: we are the ones who elect them. We  don't deserve having problems with employment, marriage, child birth etc ...  We all deserve the right to be accepted.  Go for it! Clicking the ""like"" button is not enough.  If you want to attract the candidates' attention to the fight for human rights, do  the following:  1) Take a picture with Campaign (HUMAN RIGHTS) logo (state required)  2) Post it in comments within a week  3) Share with your friends  For the first place $50; second place $30; third place $20",2,14,41.5,2016-03-22,"United States: Glendale (+10 mi) Arizona","unavailable",7.8,"RUB",32216,"mid","low","low","low"
"770",769,1621,"Who is ready to do the same in any public place during the weekends ?? We really need to stop Islamophobia and the fear of Muslims, and change that false image about us, it's everybody's duty...",213,1640,41.5,2016-03-17,"United States: New York","unavailable",500,"RUB",31716,"mid","high","mid","mid"
"771",770,1696,"Racism is not ""Heritage and Honor'. It's time to stand up for what's right.",2,421,39,2016-03-17,"United States","black",80.1,"RUB",31716,"low","low","low","low"
"772",771,1697,"Racism is not ""Heritage and Honor'. It's time to stand up for what's right.",0,12518,39,2016-03-23,"United States","black",3097.21,"RUB",32316,"low","high","unavailable","high"
"773",772,1701,"Know your rights!  1. Record the interaction.  2. FOLLOW @cop_block_us",0,8446,39,2016-03-16,"United States","black",49.45,"RUB",31616,"low","low","unavailable","mid"
"774",773,1809,"10 years later. No changes! Hundreds of Americans have held demonstrations in San Francisco to protest police fatal shooting of #MarioWoods last month. Click to Learn More Cop Block Us AmericanCops",149,31506,24,2016-03-11,"United States: San Francisco (+40 km) California","unavailable",6915.75,"RUB",31116,"low","high","mid","high"
"775",774,1869,"Cheers to the actual heroes that protect and serve communities all over America and the world. Cop Block Us ( @cop Block AmericanCops",71,15109,29,2016-03-23,"United States","black",3977.37,"RUB",32316,"low","high","mid","high"
"776",775,91,"We don't want to honor racism, slavery and hatred. This is what Confederate Heritage is. Not My Heritage Rally",1499,49978,39,2016-03-15,"United States: Jackson (+17 km) Mississippi","unavailable",13661.08,"RUB",31516,"low","high","high","high"
"777",776,1677,"A message from Muslim American kids to all citizens of the us .. is this how we really want our kids to feel ?",165,2379,41.5,2016-03-17,"Living In: United States","unavailable",200,"RUB",31716,"mid","mid","mid","mid"
"778",777,841,"A young black guy who was mentally disabled decided to end his life, but will only do that by making the cops kill him. This is absolutely insane in the highest order. He took a gun and ordered his other two brothers to take a video of the whole incident. Michael Ford, at the police vicinity opened fire and got the cop's attention. The filming was still in process as he commanded. The first cops who appeared fired back and almost immediately ended up drawing fire. He gave the other officer a chance to get into position when he opened fire. It's quite not understandable why his own cop shot him and shot the mentality ill man too. This is a good example of sick reality too. Is there any explanation why cops have started shooting each other?          Subscribe to my YouTube Channel:   ",455,3734,41.5,2016-03-17,"United States","unavailable",748.95,"RUB",31716,"mid","high","mid","mid"
"779",778,897,"Robert Bentley, Alabama Governor, has decided to reform prison system. This is actually good news? Alabama happens to be one of the nation's poorest states which have led to overcrowd in its prison. The prison system houses 24,000 inmates but it was designed for 13,000.Let me enlighten you a little on how it's going to be done. Four other larger prisons will be built additionally to prevent the rate of overcrowd. Even though one would have taught of using this money for projects like health care facilities and other, he chose prisons. It's not bad though, at least inmates will have free live behind bars. It shows how much he cares for his people.   Subscribe to my YouTube Channel:   ",192,6881,34.5,2016-03-22,"United States","left wing",1138.03,"RUB",32216,"low","high","mid","mid"
"780",779,902,"Expecting mother includes late husband in maternity photo shoot Through the struggles and pains of losing a dear husband. Nicole Bennett has built courage to take maternity photos with her 4-year-old son. She added old photos of late husband Deonta, but they were slightly faded to appear as a spirit — a symbol of hope that he watches over them. She also did this as a memorial for her unborn daughter who is due March 25. We commend her for her boldness and we hope that she finds solace in these photos. #NicoleBernett #Maternityphotoswithlatehusband",1,8,34.5,2016-03-10,"United States","mixed",2.15,"RUB",31016,"low","low","low","low"
"781",780,782,"Brendan Carter decided to pay a visit to his sick uncle and was held by officers in a public RTS bus station in Rochester, New York. Carter said he was at a station waiting for bus. Freeing himself from emotional trauma, Carter decided to hip his soul with music, when he put his headphones on and started to dance. Suddenly, officers approached him and began asking him out of the premises. Apparently he had not committed any crime or violated any order, so he was disturbed and begun to argue with them. Seriously this guy was detained for useless reasons. This is what American police find interest in — unnecessary and useless way of harassing blacks. Very ridiculous.        Subscribe to my Channel:   ",31,760,41.5,2016-03-10,"United States","unavailable",99.78,"RUB",31016,"mid","low","low","low"
"782",781,805,"A 21-year-old Oklahoma man was sentenced on Monday to 40 years in prison for sexually assaulting orphaned children while on a missionary trip in Kenya in 2014. Matthew works at an orphanage built and run by an American citizen named Upendo Children Centre. The main aim of this orphanage was to assist abandoned children in Nairobi, Kenya. Upon Matthew's arrival in Kenya, he insisted on not staying in the apartment allocated to him by authorities but preferred to stay in the very dormitory where these children stayed. He also based his choice on being in a better position to assist the children should the need arise. Mathew raped three teenagers — ages of 5, 9, and 15 respectively for not less than 8 times. He also maltreated a 12 year old boy. This outrageous act led to his sentence of 40 years imprisonment and a fined of $15, 863.",1132,11206,36,2016-03-17,"United States","black",5000,"RUB",31716,"low","high","high","high"
"783",782,810,"This is just for laughs :D No offends, just saying things the way they are. Guys, what do you think about this Trump (stitches parody)? #TheTrump #just4laughs",42,716,36,2016-03-17,"United States","black",300,"RUB",31716,"low","mid","low","low"
"784",783,826,"It is so disheartening knowing that people are put behind bars because they failed to settle a fine. Most people are jailed because one way or the other there was no money to do what was necessary at a particular time even though they were innocent. Prosecutors have developed this platform as a gold mine, extracting huge sum of money from civilians. You can be put behind bars if you fail to comply with the demands. Suddenly one's life becomes tattered when jail comes in, because there is no freedom of making a better living. Federal prosecutors should shake up and hold judges and all these people who take advantages of people by making them pay huge sums of money or put someone behind bars because he/she couldn't pay a fine.         Subscribe to my YouTube Channel:   ",0,0,34.5,2016-03-24,"United States","left wing",0,"unavailable",32416,"low","unavailable","unavailable","unavailable"
"785",784,830,"Ku Klux Klan is a movement in the United States that have advocated through terrorism for white supremacy, white nationalism and anti-immigration. They normally aimed at groups whom they opposed. The Klan held an anti- immigration rally on Saturday. They got surrounded by group of protestors who beat and kicked them violently. On Monday evening, a crowd of civil right protesters gathered for a vigil against Ku Klux Klan. It was a march where the protesters carried signs that had the inscription ""Power through Peace"". This march was an intended peaceful march which was meant to bring peace and unity.        Subscribe to my Channel:   ",416,4234,36,2016-03-11,"United States","black",533.47,"RUB",31116,"low","high","mid","mid"
"786",785,837,"Questions about why police shot and critically wounded a 17-year-old Somali refugee in Salt Lake City grew Monday as civil rights groups called for answers and several hundred protesters took the streets holdings signs that read, ""Stop killer cops."" It's very insane when those who are to protect us have turned into serial killers. The most annoying part is that they have refused to release the footage video. They need retraining. Whatever happened to Tasers? Whatever to rubber bullets? Whatever happened to shooting shots in the sky as a warning? Why are police wearing body cam and we can't see it? If they're right, let's see it.   Subscribe to my YouTube Channel:   ",12,2801,34.5,2016-03-10,"United States","left wing",200,"RUB",31016,"low","mid","low","mid"
"787",786,842,"A young black guy who was mentally disabled decided to end his life, but will only do that by making the cops kill him. This is absolutely insane in the highest order. He took a gun and ordered his other two brothers to take a video of the whole incident. Michael Ford, at the police vicinity opened fire and got the cop's attention. The filming was still in process as he commanded. The first cops who appeared fired back and almost immediately ended up drawing fire. He gave the other officer a chance to get into position when he opened fire. It's quite not understandable why his own cop shot him and shot the mentality ill man too. This is a good example of sick reality too. Is there any explanation why cops have started shooting each other?          Subscribe to my YouTube Channel:   ",438,5392,34.5,2016-03-17,"United States","left wing",763.95,"RUB",31716,"low","high","mid","mid"
"788",787,901,"An amount of $840K was donated to the family of the deceased James Anderson. Are they fucking kidding us? For them it's enough and wealth it, but to the family of Anderson it's not better than the life taken. These guys should pay a death penalty for taking a life. This is a racial act. Report says between hits; they screamed; ̀ White power!' before Dedmon ran him over. causing fatal injuries. There is no particular reason for whatever they did so America shouldn't think they have done something much greater. ̀ Money cannot buy life,' that is what Bob Nesta Marley said and he is absolutely right.",0,0,41.5,2016-03-10,"United States","unavailable",0,"unavailable",31016,"mid","unavailable","unavailable","unavailable"
"789",788,1686,"Back when I studied the #Holocaust in school, I remember thinking, ""How did Hitler get over 6 million people to follow along blindly and not fight back?"" Then I realised, I'm watching my fellow #Americans take the same path. Be among those who fight for their rights and freedom in this #policestate! Click to Learn More! Cop Block Us AmericanCops",53,9836,24,2016-03-11,"United States","mixed",4254.7,"RUB",31116,"low","high","low","high"
"790",789,31,"Quiz from EBONY magazine April 1952. Which is Negro? Which is White? Passing for white is a direct consequence of how race works in America. Because of the One Drop Rule if you look at all part black African you are seen as ""black"" by ""whites"" and suffer all the racism that goes with that. Click ""Learn More"" Black America ( @black Blacklivessss",235,23670,24,2016-03-11,"United States","left wing",4040.17,"RUB",31116,"low","high","mid","high"
"791",790,71,"Breaking news and analysis on the life of African American community in the US! Independent News For Black Amrican community Black Matters Black Matters",2317,77530,45,2016-03-10,"United States","black",6691.62,"RUB",31016,"high","high","high","high"
"792",791,108,"We don't want to honor racism, slavery and hatred. Sand ur ground - join the rally! Not My Heritage Rally",261,9306,34,2016-03-18,"United States: Jackson (+20 km) Mississippi","unavailable",0,"RUB",31816,"low","unavailable","mid","high"
"793",792,191,"A 17-year-old boy dies after being shot multiple times in West Baltimore. A Baltimore teenager died Monday morning, shortly after 10:30 am after being shot several times on a street corner less than two miles from his old high school. Baltimore Sun's crime reporter Kevin Rector said that an officer in the 1500 block of West Baltimore street s heard multiple gunshots comin... Teen Fatally Shot In West Baltimore I Black Matters Black Matters",2,5,41.5,2016-03-04,"United States: New York New York","unavailable",4.18,"RUB",30416,"mid","low","low","low"
"794",793,192,"As what happened to India while in police custody remains a major concern, many are wondering why the 27-year-old was denied an appropriate medical evaluation and proper care. The frequent reports of police brutality and extreme use of force, leading to death has regrettably become a daily course. Consequently, protests and demonstrations overflow in every nook and cranny, demanding answers and justice. On February 1, India T. Cummings was under the influence of the synth... #JusticeForindia: 27-Year-old Denied Medical Treatment. Dies in Police Custody I Black Matters Black Matters",0,7,41.5,2016-03-06,"United States: New York (+40 km) New York","unavailable",2.89,"RUB",30616,"mid","low","unavailable","low"
"795",794,193,"21-year-old Lane Durham from Oklahoma is facing up to 40 years of confinement for sexual harassment, when he volunteered as a missionary in Kenya. `All I wanted was to follow God's plan for me "" Durham told before court pleading for mercy. In June 2014; Matthew Durham came under national spotlight when he was accused of raping and molesting several young black girls and boys in an orphanage in Kenya. Now, 21-year-old Lane Durham from Oklahoma is facing up to 40 years of confinement for sexual harassment, when he volunteered as a missi... 40 Years For Sexually Abusing Kenyan Orphans Isn't Enough I Black Matters Black Matters",1,20,41.5,2016-03-10,"United States: New York New York","unavailable",20.09,"RUB",31016,"mid","low","low","low"
"796",795,194,"Sean Chung, 20, was sent to Riker's Island last month because of a music video he posted in November. The last thing you would imagine someone will go to jail for is their rap lyrics. Afterwards this is America --- the Land of the Free and home of the Brave. The country where artists like Ice-T and Ice Cube can sing about killing cops and win multi-million dollar record deals. ""I'm 'bout to dust som... A Blatant Disregard For The First Amendment: Young Rapper Jailed For Lyrics I Black Matters Black Matters",150,1818,41.5,2016-03-10,"United States: New York New York","unavailable",383.97,"RUB",31016,"mid","mid","mid","mid"
"797",796,195,"Family members of India Kager will receive the video of India and Angelo's shooting today. March 10th. On March 8, women all over the world celebrated heartily, the pride in being a woman. But in the case of Gina, she only wishes the justice to be served. Gina's grieving ever since the death of her daughter India Kager along with Angelo Perry. India's boyfriend ; has been escalated by an attorney's de... Gina Kager Receives The Video Of India's Death Black Matters Black Matters",32,393,41.5,2016-03-11,"United States: New York New York","unavailable",199.96,"RUB",31116,"mid","mid","low","low"
"798",797,196,"A narcotics detective, who abused his power in the past. was shot in the shoulder by his fellow officer. It's time to reap what you sow. The day before yesterday an unidentified police sergeant accidentally shot Jon Gladstone, a narcotics detective, while firing at two unarmed drug dealers in Brooklyn. The drug dealers were surrounded by these two undercover cops. It happened while the criminals were sitting in a parked van. When the... NYPD Cop Shot Another Cop During A Drug Bust I Black Matters Black Matters",184,1829,41.5,2016-03-11,"United States: New York New York","unavailable",400,"RUB",31116,"mid","mid","mid","mid"
"799",798,197,"The VA State Attorney Colon Stolle sees no law violation in Virginia Police actions. The VA State Attorney Colon Stolle on Wednesday gave a verdict concerning the four Virginia Police Officers who were involved in the shooting of India Kager at a press conference. He is sure that they didn't violate the law and shouldn't be prosecuted. During the press conference. a minute video of... No Charges For VA Beach Police For Killing India Kager I Black Matters Black Matters",0,5,41.5,2016-03-11,"United States: New York New York","unavailable",0.68,"RUB",31116,"mid","low","unavailable","low"
"800",799,198,"The family of Luis Martinez wants Dist. Attorney Jackie Lacey to file charges against the police officers who were involved in the fatal shooting of a 35-year- old man. On April 21 2015, Hollenbeck Division patrol officers were called by Martinez's wife reporting that her husband, Luis Martinez had stabbed himself. Luis Martinez was a 35-year-old man with a broken hip from falling over a railing from the third floor of his apartment. Martinez's injuries were so sev... Family Seeks Charges Against LAPD Involved in Fatal Shooting Of A Man I Black Matters Black Matters",0,4,41.5,2016-03-12,"United States: New York New York","unavailable",1.88,"RUB",31216,"mid","low","unavailable","low"
"801",800,199,"The mother of Tamir Rice wants to inspire young activists to rally against a system that is stacked against communities of color. Samaria Rice, the mother of 12-year-old Tamir Rice, who was fatally shot by officer Timothy Loehmann in 2014, will address police brutality and other important issues at Kalamazoo College in Michigan on Wednesday. She wants to speak out at the college in order to inspire students to stand up against... Samaria Rice To Speak At Michigan College I Black Matters Black Matters",320,3484,41.5,2016-03-11,"United States: New York New York","unavailable",1000,"RUB",31116,"mid","high","mid","mid"
"802",801,200,"Since history men have developed fetishes on the curve body figures of black women making them feel like sex objects. Alessandrai Rhines explains why it is wrong to use black women as experiments. Since history men have developed fetishes on the curve body figures of black women making them feel like sex objects. Black women have been made to feel like they are highly sexualized beings since slavery. Poet Alessandria Rhines performed at Button Poetry Live; in January 2016, explaining in her p... Alessandrai Rhines Explains Why It Is Wrong To Use Black Women As Experiments I Black Matters Black Matters",29,359,41.5,2016-03-11,"United States: New York New York","unavailable",200,"RUB",31116,"mid","mid","low","low"
"803",802,201,"Maryland's Highest Court on Tuesday ordered a Baltimore police officer to testify against his colleagues who were also charged with Freddie Gray's death. Baltimore's police officer William Porter is set to testify against his colleagues who sort the death of Freddie Gray under the grant of limited immunity, which means that what he says can't be used against him during his own trial; as the court ordered. The Court of Appeals gave no reason for the d... Second Freddie Gray Trial Said Officer Must Testify Against Co- Defendants I Black Matters Black Matters",39,391,41.5,2016-03-11,"United States: New York New York","unavailable",144.32,"RUB",31116,"mid","low","low","low"
"804",803,202,"University of Missouri assistant communications professor is appealing her firing last month over her role in racism protests last year. Melissa Click. who was caught on tape cursing student journalists and also police officers during protest last year, stated on Tuesday that her dismissal on Feb. 25 by university system curators was unprofessional. ""In their decision to terminate my employment; the curators bowed to conservative voi... Missouri Professor Dismissed Over Misconduct Files Appeal I Black Matters Black Matters",0,7,41.5,2016-03-10,"United States: New York New York","unavailable",7.47,"RUB",31016,"mid","low","unavailable","low"
"805",804,203,"A seventh-grade student at a private school in Hopewell, Virginia, was told by school administrators he must remove his dreadlocks if he wanted to stay in the school. A seventh-grade student at a private school in Hopewell, Virginia, was told by school administrators he must remove his dreadlocks if he wanted to stay in the school. Isaiah Freeman; 13, has had dreadlocks at the West End Christian School since third grade. It therefore, came as a surprise to his fa... Seventh-Grader Told To Cut Dreadlocks Or Leave The School I Black Matters Black Matters",42,432,41.5,2016-03-11,"United States: New York New York","unavailable",145.67,"RUB",31116,"mid","low","low","low"
"806",805,204,"She didn't only win the women champions against Maria Sharapova last year; but now she is on her way to being the highest paid. On the fact of it. American sports are dominated by Black Americans. Talk of Basketball, Soccer. American football, Athletics and the like; we have represented the nation on an international level and almost always brought glory to this nation. This is because Black culture has imbibed into us drive... Serena Williams Will Be Worlds Highest Paid Female Athlete I Black Matters Black Matters",2,19,41.5,2016-03-14,"United States: New York New York","unavailable",3.4,"RUB",31416,"mid","low","low","low"
"807",806,205,"Unrepentant hateful Trump supporter enjoyed sucker punching black man at rally.  nc-rally-next-time-we-might-have-to-kill-him/ Following statements from his emperor saying he'd like to punch a protester in the face. Donald Trump supporter, John McGraw; 78, was caught on video sucker punching a black man during a rally Wednesday in Fayetteville; North Carolina. Videos posted to social media showing several angles of McGraw's... Trump Supporter Who Punched Black Man at NC Rally: ̀ Next Time We Might Have to Kill Him Black... Black Matters",0,10,41.5,2016-03-14,"United States: New York New York","unavailable",5.46,"RUB",31416,"mid","low","unavailable","low"
"808",807,206,"A St. Paul Police sergeant who posted on Facebook ""run them over"" about BLM protesters won't face any criminal charges.  free/ The sergeant Jeffrey Rothecker, in his Facebook comment; referred to protesters as idiots. He wrote about how drivers could even escape charges if they ever killed any of the protesters during protests. He out smarted the police department and resigned before any disciplinary actions were taken. The... Police Says ""Run Them Over"" And Goes Scot-Free I Black Matters Black Matters",0,15,41.5,2016-03-14,"United States: New York New York","unavailable",11.77,"RUB",31416,"mid","low","unavailable","low"
"809",808,207,"Trump said ""You know, Barack Obama — African-American — if I were African- American, I would be so angry at him,"" ""I will do more for the African- American people in one year than Barack Obama has done in his seven years, soon to be eight years, and then by the way, he's out and thank goodness, OK?"". The controversial Trump has made so many promises especially to African-Americans during his recent campaigns. Some of these promises include Trump saying, ""I'm going to unify the country,"" Trump told thousands of people at a rally in this suburb of Detroit. ""I'm going to unify blacks and whites."" A... Donald Trump's Promises to African-Americans Black Matters Black Matters",5,45,41.5,2016-03-14,"United States: New York New York","unavailable",7.71,"RUB",31416,"mid","low","low","low"
"810",809,208,"Governor of the State of Mississippi has proclaimed the month of April 2016 as Confederate Heritage Month. We don't want to honor racism, slavery and hatred. Yet this is what Confederate Heritage is. The Confederate flag is Americas most potent symbol of white supremacy. Symbols of hate have no place in our government.        Join our ""Not My Heritage"" Rally at 2 pm on March 26th, 398 Mississipi st, Jackson. Mississipi. More info: ",0,21,34,2016-03-18,"United States: Jackson (+20 km) Mississippi","unavailable",0,"unavailable",31816,"low","unavailable","unavailable","low"
"811",810,309,"We finally made it! Welcome to the official Black Matters Website! ",15,197,41.5,2016-03-10,"United States: New York New York","unavailable",141.81,"RUB",31016,"mid","low","low","low"
"812",811,310,"As what happened to India while in police custody remains a major concern, many are wondering why the 27-year-old was denied an appropriate medical evaluation and proper care. The frequent reports of police brutality and extreme use of force, leading to death has regrettably become a daily course. Consequently, protests and demonstrations overflow in every nook and cranny, demanding answers and justice. On February 1, India T. Cummings was under the influence of the synth... #JusticeForindia: 27-Year-old Denied Medical Treatment, Dies in Police Custody I Black Matters Black Matters",0,0,41.5,2016-03-04,"United States: New York New York","black",0,"unavailable",30416,"mid","unavailable","unavailable","unavailable"
